Body Region,Sagittal Aspect,Component,,,"Sub-Comp
/Material",Part Name,Comment,
7,,,,,,LX,,
,0,,,,,L,,
,5,,,,,R,,
,,2,,,,Knee,,
,,,1,,,Ligaments,,
,,,,1,,Medial-Colateral,,
,,,,2,,Lateral-Colateral,,
,,,,3,,Anterior-Cruciate,,
,,,,4,,Posterior-Cruciate,,
,,,,5,,Patellar,,
,,,2,,,Cartilage,,
,,,,1,,Femoral,,
,,,,2,,Tibia,,
,,,,3,,Patellar,,
,,,3,,,Meniscus,,
,,,,1,,Medial,,
,,,,2,,Lateral,,
,,,4,,,Muscles,,
,,,,,0,Mains-Structure,,
,,,,,1,Substructure1-(aACL,aPCL,muscle-head1)
,,,,,2,Substructure2-(pACL,pPCL,muscle-head2)
,,,,,3,Substructure3-(muscle-head3),,
,,,,,4,Substructure4-(muscle-head4),,
