Body Region,Sagittal Aspect,Component,,,"Sub-Comp
/Material",Part Name,Comment
3,,,,,,UX,
,0,,,,,L,
,5,,,,,R,
,,1,,,,Bone,
,,,,10,,Clavicle,
,,,,11,,Clavicle-Medial,
,,,,12,,Clavicle-Lateral,
,,,,20,,Scapula,
,,,,30,,Humerus-whole,
,,,,31,,Humerus-proximal,
,,,,32,,Humerus-shaft,
,,,,33,,Humerus-distal,
,,,,40,,Ulna-whole,
,,,,41,,Ulna-proximal,
,,,,42,,Ulna-shaft,
,,,,43,,Ulna-distal,
,,,,50,,Radius-whole,
,,,,51,,Radius-proximal,
,,,,52,,Radius-shaft,
,,,,53,,Radius-distal,
,,,,60,,Carpal,
,,,,140,,Metacarpal,
,,,,200,,Phalanges,
,,,,,1,Cortical,
,,,,,2,Trabecular,
,,,,,3,Rigid,
,,,,,9,Null,
